vid,init_time,tls_distance,stop_distance,time_to_green,tls_light_count,time_of_pass,leading_cars,stop_leading_cars,stop_duration
right_7285,12431.0,46.00735423186683,46.00722186196788,43.0,1,12500.0,6,6,54.0
right_7294,12431.0,334.29477573260664,68.51035091231853,43.0,1,12507.0,9,9,38.0
right_7296,12431.0,411.0907835897057,76.01138677211527,43.0,1,12509.0,10,10,29.0
right_7300,12431.0,455.0142341344617,83.5124626299197,43.0,1,12511.0,11,11,28.0
right_7341,12486.0,408.2249292290769,-1.0,0.0,0,12528.0,19,-1,-1.0
right_7385,12541.0,476.90718483729285,1.0010330165882235,0.0,0,12673.0,6,0,88.0
right_7389,12541.0,497.24765104772524,8.502138273709024,0.0,0,12678.0,7,1,28.0
right_7518,12706.0,454.2154554433189,-1.0,0.0,0,12736.0,15,-1,-1.0
right_7537,12761.0,119.81141504459072,1.0010852105326649,0.0,0,12865.0,1,0,90.0
right_7539,12761.0,210.38049635569732,8.502087337003047,0.0,0,12870.0,2,1,85.0
right_7548,12761.0,444.73024229519064,31.005238075829826,0.0,0,12879.0,5,4,72.0
right_7567,12816.0,361.5822674219496,83.51262181801012,42.0,1,12895.0,11,11,36.0
