vid,init_time,tls_distance,stop_distance,time_to_green,tls_light_count,time_of_pass,leading_cars,stop_leading_cars,stop_duration
down_3844,7866.0,68.27702674336376,1.0010310651977647,0.0,0,7969.0,0,0,93.0
down_3851,7866.0,245.7706847584806,16.003173593490313,0.0,0,7978.0,2,2,88.0
down_3874,7921.0,68.5103701690241,68.5103701690241,41.0,1,7995.0,9,9,57.0
down_3876,7921.0,76.01245192095143,76.01141316162851,41.0,1,7997.0,10,10,55.0
down_3878,7921.0,118.1476241570868,83.51241853240919,41.0,1,7999.0,11,11,47.0
down_3910,7976.0,346.1275258703157,-1.0,0.0,0,8024.0,22,-1,-1.0
down_3912,7976.0,421.2989771387471,-1.0,0.0,0,8026.0,23,-1,-1.0
down_3914,7976.0,456.7690811195411,-1.0,0.0,0,8028.0,24,-1,-1.0
down_3938,8031.0,466.7957004405558,1.0010458620032523,0.0,0,8161.0,9,0,90.0
down_3949,8086.0,69.11663049778394,38.50625633942491,68.0,1,8178.0,5,5,70.0
down_4035,8251.0,25.07300395550675,1.0010193110136925,95.0,0,8353.0,0,0,94.0
down_4039,8251.0,76.14766865447154,8.502087804466612,95.0,0,8358.0,1,1,92.0
down_4081,8306.0,348.04930179137864,113.51665360253895,40.0,1,8391.0,15,15,2.0
down_4133,8416.0,451.6245526286323,1.001073788637484,0.0,0,8545.0,9,0,93.0
down_4138,8416.0,484.38635483859116,8.502130262695914,0.0,0,8550.0,10,1,86.0
down_4182,8526.0,135.97751969044666,128.5186807810145,12.0,1,8586.0,17,17,1.0
down_4204,8581.0,197.23728880973152,-1.0,0.0,0,8605.0,12,-1,-1.0
down_4231,8636.0,88.06019450174631,1.001020065364003,94.0,0,8737.0,0,0,89.0
down_4233,8636.0,191.34968396797763,8.502069651049679,94.0,0,8742.0,1,1,84.0
down_4238,8636.0,415.70850926941216,31.005165727560325,94.0,0,8751.0,4,4,73.0
down_4261,8691.0,183.5706121361813,91.01334501040128,39.0,1,8769.0,12,12,44.0
down_4276,8691.0,499.831437939126,136.0196286765854,39.0,1,8781.0,18,18,24.0
down_4302,8801.0,39.420115362758345,-1.0,0.0,0,8805.0,2,-1,-1.0
down_4312,8801.0,443.43714517476036,1.0011055624586334,0.0,0,8929.0,8,0,5.0
down_4315,8801.0,476.84692441923545,8.50216160376192,0.0,0,8934.0,9,1,3.0
down_4335,8856.0,182.5034616773843,53.50842722853247,66.0,1,8950.0,7,7,38.0
down_4336,8856.0,268.5615892797708,61.009538691821604,66.0,1,8952.0,8,8,5.0
down_4400,9021.0,29.686570375766,1.0010024661254422,93.0,0,9121.0,0,0,89.0
down_4414,9021.0,458.4242115274071,46.00719877309615,93.0,0,9139.0,6,6,69.0
down_4425,9076.0,83.51350693829494,83.51236340530373,38.0,1,9150.0,11,11,52.0
down_4478,9186.0,10.206666323777938,-1.0,0.0,0,9187.0,0,-1,-1.0
down_4486,9186.0,214.7261413629419,-1.0,0.0,0,9202.0,3,-1,-1.0
down_4502,9186.0,406.88129492690786,1.0010634666195983,0.0,0,9313.0,6,0,88.0
down_4505,9186.0,457.48577773170547,8.502122357716189,0.0,0,9318.0,7,1,87.0
